wavelength / nm;Absorption cross section 1/m²;Emission cross section 1/m²;;;;
792;6,623614721E-28;6,09835E-34;;;;
792,2;6,775747729E-28;6,41681E-34;;;;
792,4;6,930985238E-28;6,75126E-34;;;;
792,6;7,089381260E-28;7,10248E-34;;;;
792,8;7,250990540E-28;7,47127E-34;;;;
793;7,415868560E-28;7,85847E-34;;;;
793,2;7,584071549E-28;8,26496E-34;;;;
793,4;7,755656487E-28;8,69167E-34;;;;
793,6;7,930681108E-28;9,13956E-34;;;;
793,8;8,109203909E-28;9,60963E-34;;;;
794;8,291284153E-28;1,01029E-33;;;;
794,2;8,476981877E-28;1,06206E-33;;;;
794,4;8,666357895E-28;1,11637E-33;;;;
794,6;8,859473804E-28;1,17335E-33;;;;
794,8;9,056391990E-28;1,23313E-33;;;;
795;9,257175635E-28;1,29583E-33;;;;
795,2;9,461888717E-28;1,36159E-33;;;;
795,4;9,670596019E-28;1,43056E-33;;;;
795,6;9,883363134E-28;1,50289E-33;;;;
795,8;1,010025647E-27;1,57872E-33;;;;
796;1,032134325E-27;1,65823E-33;;;;
796,2;1,054669153E-27;1,74159E-33;;;;
796,4;1,077637018E-27;1,82897E-33;;;;
796,6;1,101044893E-27;1,92055E-33;;;;
796,8;1,124899831E-27;2,01654E-33;;;;
797;1,149208972E-27;2,11713E-33;;;;
797,2;1,173979540E-27;2,22254E-33;;;;
797,4;1,199218844E-27;2,33298E-33;;;;
797,6;1,224934280E-27;2,44868E-33;;;;
797,8;1,251133327E-27;2,5699E-33;;;;
798;1,277823553E-27;2,69687E-33;;;;
798,2;1,305012612E-27;2,82985E-33;;;;
798,4;1,332708244E-27;2,96912E-33;;;;
798,6;1,360918279E-27;3,11497E-33;;;;
798,8;1,389650632E-27;3,26769E-33;;;;
799;1,418913309E-27;3,42758E-33;;;;
799,2;1,448714402E-27;3,59498E-33;;;;
799,4;1,479062095E-27;3,77021E-33;;;;
799,6;1,509964659E-27;3,95363E-33;;;;
799,8;1,541430454E-27;4,14559E-33;;;;
800;1,573467933E-27;4,3465E-33;;;;
800,2;1,606085635E-27;4,55673E-33;;;;
800,4;1,639292194E-27;4,7767E-33;;;;
800,6;1,673096331E-27;5,00684E-33;;;;
800,8;1,707506859E-27;5,24761E-33;;;;
801;1,742532683E-27;5,49946E-33;;;;
801,2;1,778182799E-27;5,76289E-33;;;;
801,4;1,814466294E-27;6,03841E-33;;;;
801,6;1,851392347E-27;6,32653E-33;;;;
801,8;1,888970230E-27;6,62782E-33;;;;
802;1,927209305E-27;6,94284E-33;;;;
802,2;1,966119028E-27;7,27219E-33;;;;
802,4;2,005708947E-27;7,61649E-33;;;;
802,6;2,045988703E-27;7,9764E-33;;;;
802,8;2,086968029E-27;8,35257E-33;;;;
803;2,128656749E-27;8,74572E-33;;;;
803,2;2,171064783E-27;9,15657E-33;;;;
803,4;2,214202142E-27;9,58589E-33;;;;
803,6;2,258078931E-27;1,00345E-32;;;;
803,8;2,302705345E-27;1,05031E-32;;;;
804;2,348091674E-27;1,09927E-32;;;;
804,2;2,394248303E-27;1,1504E-32;;;;
804,4;2,441185704E-27;1,20382E-32;;;;
804,6;2,488914448E-27;1,2596E-32;;;;
804,8;2,537445194E-27;1,31785E-32;;;;
805;2,586788697E-27;1,37868E-32;;;;
805,2;2,636955801E-27;1,44219E-32;;;;
805,4;2,687957445E-27;1,5085E-32;;;;
805,6;2,739804659E-27;1,57772E-32;;;;
805,8;2,792508566E-27;1,64997E-32;;;;
806;2,846080379E-27;1,72538E-32;;;;
806,2;2,900531405E-27;1,80409E-32;;;;
806,4;2,955873040E-27;1,88622E-32;;;;
806,6;3,012116772E-27;1,97192E-32;;;;
806,8;3,069274181E-27;2,06134E-32;;;;
807;3,127356936E-27;2,15463E-32;;;;
807,2;3,186376797E-27;2,25196E-32;;;;
807,4;3,246345613E-27;2,35347E-32;;;;
807,6;3,307275323E-27;2,45935E-32;;;;
807,8;3,369177957E-27;2,56978E-32;;;;
808;3,432065631E-27;2,68494E-32;;;;
808,2;3,495950550E-27;2,80502E-32;;;;
808,4;3,560845008E-27;2,93022E-32;;;;
808,6;3,626761385E-27;3,06075E-32;;;;
808,8;3,693712149E-27;3,19683E-32;;;;
